Group,Common_Name,Scientific_Name
CASUARIIFORMES: Casuariidae,Southern Cassowary,Casuarius casuarius
CASUARIIFORMES: Casuariidae,Emu,Dromaius novaehollandiae
ANSERIFORMES: Anseranatidae,Magpie Goose,Anseranas semipalmata
ANSERIFORMES: Anseranatidae,Spotted Whistling-Duck,Dendrocygna guttata
ANSERIFORMES: Anseranatidae,Plumed Whistling-Duck,Dendrocygna eytoni
ANSERIFORMES: Anseranatidae,Wandering Whistling-Duck,Dendrocygna arcuata
ANSERIFORMES: Anseranatidae,Freckled Duck,Stictonetta naevosa
ANSERIFORMES: Anseranatidae,Black Swan,Cygnus atratus
ANSERIFORMES: Anseranatidae,Radjah Shelduck,Radjah radjah
ANSERIFORMES: Anseranatidae,Green Pygmy-Goose,Nettapus pulchellus
ANSERIFORMES: Anseranatidae,Cotton Pygmy-Goose,Nettapus coromandelianus
ANSERIFORMES: Anseranatidae,Maned Duck,Chenonetta jubata
ANSERIFORMES: Anseranatidae,Pacific Black Duck,Anas superciliosa
ANSERIFORMES: Anseranatidae,Mallard,Anas platyrhynchos
ANSERIFORMES: Anseranatidae,Gray Teal,Anas gracilis
ANSERIFORMES: Anseranatidae,Chestnut Teal,Anas castanea
ANSERIFORMES: Anseranatidae,Pink-eared Duck,Malacorhynchus membranaceus
ANSERIFORMES: Anseranatidae,Hardhead,Aythya australis
GALLIFORMES: Megapodiidae,Australian Brushturkey,Alectura lathami
GALLIFORMES: Megapodiidae,Orange-footed Scrubfowl,Megapodius reinwardt
GALLIFORMES: Numididae,Helmeted Guineafowl,Numida meleagris
GALLIFORMES: Phasianidae,Indian Peafowl,Pavo cristatus
GALLIFORMES: Phasianidae,Red Junglefowl,Gallus gallus
GALLIFORMES: Phasianidae,Brown Quail,Synoicus ypsilophorus
GALLIFORMES: Phasianidae,Blue-breasted Quail,Synoicus chinensis
GALLIFORMES: Phasianidae,Stubble Quail,Coturnix pectoralis
PODICIPEDIFORMES: Podicipedidae,Australasian Grebe,Tachybaptus novaehollandiae
PODICIPEDIFORMES: Podicipedidae,Hoary-headed Grebe,Poliocephalus poliocephalus
PODICIPEDIFORMES: Podicipedidae,Great Crested Grebe,Podiceps cristatus
COLUMBIFORMES: Columbidae,Rock Pigeon,Columba livia
COLUMBIFORMES: Columbidae,White-headed Pigeon,Columba leucomela
COLUMBIFORMES: Columbidae,Spotted Dove,Streptopelia chinensis
COLUMBIFORMES: Columbidae,Brown Cuckoo-Dove,Macropygia phasianella
COLUMBIFORMES: Columbidae,Pacific Emerald Dove,Chalcophaps longirostris
COLUMBIFORMES: Columbidae,Common Bronzewing,Phaps chalcoptera
COLUMBIFORMES: Columbidae,Crested Pigeon,Ocyphaps lophotes
COLUMBIFORMES: Columbidae,Squatter Pigeon,Geophaps scripta
COLUMBIFORMES: Columbidae,Wonga Pigeon,Leucosarcia melanoleuca
COLUMBIFORMES: Columbidae,Diamond Dove,Geopelia cuneata
COLUMBIFORMES: Columbidae,Peaceful Dove,Geopelia placida
COLUMBIFORMES: Columbidae,Bar-shouldered Dove,Geopelia humeralis
COLUMBIFORMES: Columbidae,Wompoo Fruit-Dove,Ptilinopus magnificus
COLUMBIFORMES: Columbidae,Superb Fruit-Dove,Ptilinopus superbus
COLUMBIFORMES: Columbidae,Rose-crowned Fruit-Dove,Ptilinopus regina
COLUMBIFORMES: Columbidae,Elegant Imperial-Pigeon,Ducula concinna
COLUMBIFORMES: Columbidae,Torresian Imperial-Pigeon,Ducula spilorrhoa
COLUMBIFORMES: Columbidae,Topknot Pigeon,Lopholaimus antarcticus
OTIDIFORMES: Otididae,Australian Bustard,Ardeotis australis
CUCULIFORMES: Cuculidae,Pheasant Coucal,Centropus phasianinus
CUCULIFORMES: Cuculidae,Pacific Koel,Eudynamys orientalis
CUCULIFORMES: Cuculidae,Channel-billed Cuckoo,Scythrops novaehollandiae
CUCULIFORMES: Cuculidae,Horsfield's Bronze-Cuckoo,Chrysococcyx basalis
CUCULIFORMES: Cuculidae,Black-eared Cuckoo,Chrysococcyx osculans
CUCULIFORMES: Cuculidae,Shining Bronze-Cuckoo,Chrysococcyx lucidus
CUCULIFORMES: Cuculidae,Little Bronze-Cuckoo,Chrysococcyx minutillus
CUCULIFORMES: Cuculidae,Pallid Cuckoo,Cacomantis pallidus
CUCULIFORMES: Cuculidae,Chestnut-breasted Cuckoo,Cacomantis castaneiventris
CUCULIFORMES: Cuculidae,Fan-tailed Cuckoo,Cacomantis flabelliformis
CUCULIFORMES: Cuculidae,Brush Cuckoo,Cacomantis variolosus
CUCULIFORMES: Cuculidae,Oriental Cuckoo,Cuculus optatus
CAPRIMULGIFORMES: Podargidae,Tawny Frogmouth,Podargus strigoides
CAPRIMULGIFORMES: Podargidae,Marbled Frogmouth,Podargus ocellatus
CAPRIMULGIFORMES: Podargidae,Papuan Frogmouth,Podargus papuensis
CAPRIMULGIFORMES: Caprimulgidae,Spotted Nightjar,Eurostopodus argus
CAPRIMULGIFORMES: Caprimulgidae,White-throated Nightjar,Eurostopodus mystacalis
CAPRIMULGIFORMES: Caprimulgidae,Large-tailed Nightjar,Caprimulgus macrurus
CAPRIMULGIFORMES: Aegothelidae,Australian Owlet-nightjar,Aegotheles cristatus
CAPRIMULGIFORMES: Apodidae,White-throated Needletail,Hirundapus caudacutus
CAPRIMULGIFORMES: Apodidae,Glossy Swiftlet,Collocalia esculenta
CAPRIMULGIFORMES: Apodidae,Australian Swiftlet,Aerodramus terraereginae
CAPRIMULGIFORMES: Apodidae,Uniform Swiftlet,Aerodramus vanikorensis
CAPRIMULGIFORMES: Apodidae,Pacific Swift,Apus pacificus
CAPRIMULGIFORMES: Apodidae,House Swift,Apus nipalensis
GRUIFORMES: Rallidae,Lewin's Rail,Lewinia pectoralis
GRUIFORMES: Rallidae,Chestnut Rail,Gallirallus castaneoventris
GRUIFORMES: Rallidae,Buff-banded Rail,Gallirallus philippensis
GRUIFORMES: Rallidae,Black-tailed Nativehen,Tribonyx ventralis
GRUIFORMES: Rallidae,Australian Crake,Porzana fluminea
GRUIFORMES: Rallidae,Dusky Moorhen,Gallinula tenebrosa
GRUIFORMES: Rallidae,Eurasian Coot,Fulica atra
GRUIFORMES: Rallidae,Australasian Swamphen,Porphyrio melanotus
GRUIFORMES: Rallidae,White-browed Crake,Poliolimnas cinereus
GRUIFORMES: Rallidae,Pale-vented Bush-hen,Amaurornis moluccana
GRUIFORMES: Rallidae,Red-necked Crake,Rallina tricolor
GRUIFORMES: Rallidae,Baillon's Crake,Zapornia pusilla
GRUIFORMES: Rallidae,Spotless Crake,Zapornia tabuensis
GRUIFORMES: Gruidae,Sarus Crane,Antigone antigone
CHARADRIIFORMES: Burhinidae,Bush Thick-knee,Burhinus grallarius
CHARADRIIFORMES: Burhinidae,Beach Thick-knee,Esacus magnirostris
CHARADRIIFORMES: Recurvirostridae,Pied Stilt,Himantopus leucocephalus
CHARADRIIFORMES: Recurvirostridae,Red-necked Avocet,Recurvirostra novaehollandiae
CHARADRIIFORMES: Haematopodidae,Pied Oystercatcher,Haematopus longirostris
CHARADRIIFORMES: Haematopodidae,Sooty Oystercatcher,Haematopus fuliginosus
CHARADRIIFORMES: Charadriidae,Black-bellied Plover,Pluvialis squatarola
CHARADRIIFORMES: Charadriidae,Pacific Golden-Plover,Pluvialis fulva
CHARADRIIFORMES: Charadriidae,Banded Lapwing,Vanellus tricolor
CHARADRIIFORMES: Charadriidae,Masked Lapwing,Vanellus miles
CHARADRIIFORMES: Charadriidae,Lesser Sand-Plover,Charadrius mongolus
CHARADRIIFORMES: Charadriidae,Greater Sand-Plover,Charadrius leschenaultii
CHARADRIIFORMES: Charadriidae,Double-banded Plover,Charadrius bicinctus
CHARADRIIFORMES: Charadriidae,Red-capped Plover,Charadrius ruficapillus
CHARADRIIFORMES: Charadriidae,Oriental Plover,Charadrius veredus
CHARADRIIFORMES: Charadriidae,Red-kneed Dotterel,Erythrogonys cinctus
CHARADRIIFORMES: Charadriidae,Black-fronted Dotterel,Elseyornis melanops
CHARADRIIFORMES: Rostratulidae,Australian Painted-Snipe,Rostratula australis
CHARADRIIFORMES: Jacanidae,Comb-crested Jacana,Irediparra gallinacea
CHARADRIIFORMES: Scolopacidae,Whimbrel,Numenius phaeopus
CHARADRIIFORMES: Scolopacidae,Little Curlew,Numenius minutus
CHARADRIIFORMES: Scolopacidae,Far Eastern Curlew,Numenius madagascariensis
CHARADRIIFORMES: Scolopacidae,Bar-tailed Godwit,Limosa lapponica
CHARADRIIFORMES: Scolopacidae,Black-tailed Godwit,Limosa limosa
CHARADRIIFORMES: Scolopacidae,Ruddy Turnstone,Arenaria interpres
CHARADRIIFORMES: Scolopacidae,Great Knot,Calidris tenuirostris
CHARADRIIFORMES: Scolopacidae,Red Knot,Calidris canutus
CHARADRIIFORMES: Scolopacidae,Ruff,Calidris pugnax
CHARADRIIFORMES: Scolopacidae,Broad-billed Sandpiper,Calidris falcinellus
CHARADRIIFORMES: Scolopacidae,Sharp-tailed Sandpiper,Calidris acuminata
CHARADRIIFORMES: Scolopacidae,Curlew Sandpiper,Calidris ferruginea
CHARADRIIFORMES: Scolopacidae,Long-toed Stint,Calidris subminuta
CHARADRIIFORMES: Scolopacidae,Red-necked Stint,Calidris ruficollis
CHARADRIIFORMES: Scolopacidae,Sanderling,Calidris alba
CHARADRIIFORMES: Scolopacidae,Buff-breasted Sandpiper,Calidris subruficollis
CHARADRIIFORMES: Scolopacidae,Pectoral Sandpiper,Calidris melanotos
CHARADRIIFORMES: Scolopacidae,Asian Dowitcher,Limnodromus semipalmatus
CHARADRIIFORMES: Scolopacidae,Latham's Snipe,Gallinago hardwickii
CHARADRIIFORMES: Scolopacidae,Swinhoe's Snipe,Gallinago megala
CHARADRIIFORMES: Scolopacidae,Terek Sandpiper,Xenus cinereus
CHARADRIIFORMES: Scolopacidae,Common Sandpiper,Actitis hypoleucos
CHARADRIIFORMES: Scolopacidae,Gray-tailed Tattler,Tringa brevipes
CHARADRIIFORMES: Scolopacidae,Wandering Tattler,Tringa incana
CHARADRIIFORMES: Scolopacidae,Common Greenshank,Tringa nebularia
CHARADRIIFORMES: Scolopacidae,Nordmann's Greenshank,Tringa guttifer
CHARADRIIFORMES: Scolopacidae,Marsh Sandpiper,Tringa stagnatilis
CHARADRIIFORMES: Scolopacidae,Wood Sandpiper,Tringa glareola
CHARADRIIFORMES: Scolopacidae,Common Redshank,Tringa totanus
CHARADRIIFORMES: Scolopacidae,CHARADRIIFORMES: Turnicidae,
CHARADRIIFORMES: Scolopacidae,Red-backed Buttonquail,Turnix maculosus
CHARADRIIFORMES: Scolopacidae,Painted Buttonquail,Turnix varius
CHARADRIIFORMES: Scolopacidae,Red-chested Buttonquail,Turnix pyrrhothorax
CHARADRIIFORMES: Scolopacidae,Little Buttonquail,Turnix velox
CHARADRIIFORMES: Glareolidae,Australian Pratincole,Stiltia isabella
CHARADRIIFORMES: Glareolidae,Oriental Pratincole,Glareola maldivarum
CHARADRIIFORMES: Stercorariidae,Brown Skua,Stercorarius antarcticus
CHARADRIIFORMES: Stercorariidae,Pomarine Jaeger,Stercorarius pomarinus
CHARADRIIFORMES: Stercorariidae,Parasitic Jaeger,Stercorarius parasiticus
CHARADRIIFORMES: Stercorariidae,Long-tailed Jaeger,Stercorarius longicaudus
CHARADRIIFORMES: Laridae,Silver Gull,Chroicocephalus novaehollandiae
CHARADRIIFORMES: Laridae,Laughing Gull,Leucophaeus atricilla
CHARADRIIFORMES: Laridae,Franklin's Gull,Leucophaeus pipixcan
CHARADRIIFORMES: Laridae,Kelp Gull,Larus dominicanus
CHARADRIIFORMES: Laridae,Brown Noddy,Anous stolidus
CHARADRIIFORMES: Laridae,Black Noddy,Anous minutus
CHARADRIIFORMES: Laridae,White Tern,Gygis alba
CHARADRIIFORMES: Laridae,Sooty Tern,Onychoprion fuscatus
CHARADRIIFORMES: Laridae,Bridled Tern,Onychoprion anaethetus
CHARADRIIFORMES: Laridae,Little Tern,Sternula albifrons
CHARADRIIFORMES: Laridae,Australian Fairy Tern,Sternula nereis
CHARADRIIFORMES: Laridae,Gull-billed Tern,Gelochelidon nilotica
CHARADRIIFORMES: Laridae,Caspian Tern,Hydroprogne caspia
CHARADRIIFORMES: Laridae,White-winged Tern,Chlidonias leucopterus
CHARADRIIFORMES: Laridae,Whiskered Tern,Chlidonias hybrida
CHARADRIIFORMES: Laridae,Roseate Tern,Sterna dougallii
CHARADRIIFORMES: Laridae,White-fronted Tern,Sterna striata
CHARADRIIFORMES: Laridae,Black-naped Tern,Sterna sumatrana
CHARADRIIFORMES: Laridae,Common Tern,Sterna hirundo
CHARADRIIFORMES: Laridae,Great Crested Tern,Thalasseus bergii
CHARADRIIFORMES: Laridae,Lesser Crested Tern,Thalasseus bengalensis